index,TransactionID,isFraud
317131,3980680,0.526078462600708
386011,4049560,0.32390615344047546
3774,3667323,0.43493857979774475
120161,3783710,0.044699862599372864
374956,4038505,0.34330278635025024
18168,3681717,0.7326052784919739
389946,4053495,0.048600006848573685
408327,4071876,0.4349829852581024
414715,4078264,0.5079595446586609
290893,3954442,0.4955977201461792
33886,3697435,0.5088001489639282
469829,4133378,0.27045100927352905
255325,3918874,0.8609359860420227
470701,4134250,0.839588463306427
217027,3880576,0.7708398103713989
350240,4013789,0.9074009656906128
98518,3762067,0.05919342488050461
339568,4003117,0.616821825504303
348161,4011710,0.5144609808921814
12315,3675864,0.5871389508247375
217691,3881240,0.28424885869026184
87608,3751157,0.02737439237535
290339,3953888,0.8299874067306519
110312,3773861,0.6173093318939209
453168,4116717,0.8650952577590942
445830,4109379,0.5342594981193542
288467,3952016,0.6941161155700684
10853,3674402,0.09068107604980469
422849,4086398,0.05635473504662514
62703,3726252,0.6226471066474915
94633,3758182,0.029783977195620537
477566,4141115,0.2934581935405731
320516,3984065,0.03557587042450905
47570,3711119,0.6229661703109741
274640,3938189,0.04293043911457062
115793,3779342,0.5635789632797241
159730,3823279,0.12430273741483688
305294,3968843,0.030147407203912735
355330,4018879,0.061530061066150665
23004,3686553,0.6226471066474915
443515,4107064,0.3568861782550812
403684,4067233,0.06891535222530365
350214,4013763,0.5019581913948059
62503,3726052,0.616821825504303
334013,3997562,0.1567322462797165
356643,4020192,0.45147472620010376
416322,4079871,0.6229661703109741
308741,3972290,0.6173093318939209
216510,3880059,0.3964962661266327
228678,3892227,0.617630124092102
21801,3685350,0.5567144751548767
426115,4089664,0.3122542202472687
67169,3730718,0.4916047155857086
497813,4161362,0.8626697063446045
39522,3703071,0.9347390532493591
443538,4107087,0.48080161213874817
57642,3721191,0.4848422110080719
237043,3900592,0.4086691737174988
295760,3959309,0.6209855079650879
490446,4153995,0.8187129497528076
47120,3710669,0.6960495710372925
365243,4028792,0.5657304525375366
322927,3986476,0.5896588563919067
90590,3754139,0.12187503278255463
69082,3732631,0.7424996495246887
288089,3951638,0.6818752288818359
243494,3907043,0.17390288412570953
88318,3751867,0.8667208552360535
279552,3943101,0.5294746160507202
356527,4020076,0.12295165657997131
492475,4156024,0.8614556789398193
13386,3676935,0.5657304525375366
16112,3679661,0.6122680902481079
41797,3705346,0.28969526290893555
480338,4143887,0.32587623596191406
80740,3744289,0.38072407245635986
317790,3981339,0.6967700123786926
11234,3674783,0.321582555770874
3718,3667267,0.03777415305376053
488475,4152024,0.2016250342130661
153874,3817423,0.14738141000270844
3749,3667298,0.33399251103401184
368779,4032328,0.5567144751548767
459733,4123282,0.051023803651332855
143542,3807091,0.3666878938674927
138949,3802498,0.7267007827758789
171819,3835368,0.4490438401699066
399941,4063490,0.607927680015564
246659,3910208,0.5896588563919067
42358,3705907,0.6242727637290955
10334,3673883,0.440791517496109
166824,3830373,0.1945641040802002
134832,3798381,0.05699041485786438
426117,4089666,0.21503309905529022
178251,3841800,0.8879371881484985
295656,3959205,0.6386030316352844
267997,3931546,0.18164877593517303
199981,3863530,0.6113840937614441
6474,3670023,0.052247099578380585
350031,4013580,0.4438432455062866
218865,3882414,0.5788031220436096
294628,3958177,0.04720272496342659
212233,3875782,0.5612702965736389
451841,4115390,0.05809195339679718
315417,3978966,0.30070915818214417
191564,3855113,0.06425518542528152
22057,3685606,0.6275314092636108
348862,4012411,0.6226471066474915
362409,4025958,0.5085797905921936
348903,4012452,0.4020797610282898
197821,3861370,0.06421215087175369
9234,3672783,0.4667970538139343
315156,3978705,0.1788955181837082
467039,4130588,0.16380085051059723
350987,4014536,0.05021457001566887
428179,4091728,0.29768478870391846
253396,3916945,0.3854065537452698
82968,3746517,0.6472635865211487
469722,4133271,0.6298883557319641
18909,3682458,0.5297973155975342
2928,3666477,0.05901319161057472
386612,4050161,0.31140658259391785
491767,4155316,0.3036719858646393
487211,4150760,0.42531540989875793
301093,3964642,0.15799875557422638
195028,3858577,0.6159842610359192
118673,3782222,0.6229661703109741
27810,3691359,0.48589837551116943
